ALL   2018-09-24 15:59:05,993 [Log4J Active Asynchronous Appender] : root - First line of each file following a roll

INFO  2018-09-24 15:59:05,962 [main] : APIWinpay - START
INFO  2018-09-24 15:59:10,539 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 08:59:09.281705","data":{"token":"abf11a31ed018a5c5b9669e4b94f8295"},"response_time":"2018-09-24 08:59:10.236267"}
INFO  2018-09-24 15:59:10,605 [main] : WinpayProceed - TOKEN : abf11a31ed018a5c5b9669e4b94f8295
INFO  2018-09-24 15:59:10,609 [main] : WinpayProceed - ID PRODUK : ALFAMART
INFO  2018-09-24 15:59:10,609 [main] : WinpayProceed - URL : https://api-devel.winpay.id/apiv2/ALFAMART
INFO  2018-09-24 15:59:10,610 [main] : WinpayProceed - Content-Type : application/x-www-form-urlencoded
INFO  2018-09-24 15:59:10,610 [main] : WinpayProceed - Message : Mkd6SDlvdGabf11a31ed018a5c5b9669e4b94f82954zRWFwS0U0QmpRUzBOTWtCcUIzSmUwbWV6QWV1TjRwakxONWpvUVU5QUZydG0wMlIrVGIrVjhoYUpBV0hWaFBPYjJ2M0l0QmpiY242a200NkFKQWlkMCtEOTlXV1BOeFhuM3ArV3N1UzdPNjBES2hORnlHQVV3WSt4c01RYitRYjUvc3JiV3ozMXAwSW9IL05lRjV1dHcvTkVGT25UWDVNT1JxNm5xK3VqT2l5NjI4ZTFkTGp4VjVuZTh4em9KaVI3ZVZsM3J1ZVBsQnJ1V2JpcTEyQjV0RUpPeE9GdE1CWGJEU1lpZ0x1V3FLcWphZ0JhUTQ5TGtTWVRLTU0rK0VYWjlWVnMxT3BVTkwrckFZTlk4MUd1VWIzVzdhZDJoUll5bkZUckxMZ2ZpdTk3aGdMOWFreHZkcWVEQTBQZDR4NHd0Uzl0bExrZEtlU1lwNFJRT1pXVE9mMkNqZGVyck5jcXJXTjJ3TDhzaklFcXJIcHVOazBxTWx2WU94UmNYblhvWXIzeWFONURTYmFnbklwZEp5RXdmU3NYMVhGdEFsQlYyZjg5QTBqYUJ6aXhVK0pDS1FrNzF6MlE0QVJOT2w0aThwVnJadWQ1Z1RKcXc1K3k4c0tBcXlTRVdzVW9hZzNKc2lwbS9HYzQyQWMzZWJVeUZQRElXeTR1d3dGZ1c5UWJWQWtOeFNtbWpraW5BN1IvY1BWZHk3Qjc4aTMxTGpzVThHYkxMSjQvRXF2SlNGcXE0bFd3QnQ3RHZMdDd4aWJCNEdtaE1zNVlkRllMdGl2M0k5VEJhdXJkYmZ3aVl3alRzbz0=
INFO  2018-09-24 15:59:20,000 [main] : APIWinpay - START
INFO  2018-09-24 15:59:22,781 [main] : WinpayProceed - Response Get Token : {"rc":"00","rd":"Success","request_time":"2018-09-24 08:59:22.455921","data":{"token":"8bd97daaec94892fbb71e5d045c29769"},"response_time":"2018-09-24 08:59:22.720195"}
